,sentence,masked_word
3788,"Now, we[MASK] going to ride that big Ferris wheel.",'re
3789,It[MASK] about 20 years old.,'s
3790,It[MASK] 135 meters tall.,'s
3791,It[MASK] really interesting.,'s
3792,Emi and I [MASK] at Oxford University now.,are
3793,Th[MASK] [MASK] the dining hall.,is
3794,Now I[MASK] looking at the real thing.,'m
3795,It[MASK] amazing.,'s
3796,The world [MASK] full of interesting places.,is
3797,I[MASK] here to learn about jobs in restaurants.,’m
3798,I want to [MASK] a chef.,be
3799,How [MASK] it?,was
3800,"It [MASK] interesting, but I got tired.",was
3801,I want to [MASK] a journalist.,be
3802,Newspapers [MASK] important to people everywhere.,are
3803,It[MASK] all about your heart.,’s
3804,"To play abroad [MASK] not easy, but I really want to try.",is
3805,"I[MASK] going to invite our teachers, too.",’m
3806,I[MASK] so happy.,’m
3807,I[MASK] free on Sunday.,’m
3808,I want to [MASK] a computer programmer.,be
3809,So the job [MASK] perfect for me.,is
3810,"To [MASK] a good programmer, I study math, science, and English really hard.",be
3811,I[MASK] Kevin Parker.,’m
3812,I[MASK] from the United States.,’m
3813,I[MASK] going to talk about my dream.,’m
3814,My favorite place [MASK] Yosemite National Park.,is
3815,It[MASK] a World Heritage Site.,’s
3816,It[MASK] famous for its very tall trees.,’s
3817,So I want to [MASK] a park ranger there.,be
3818,"Ben, her neighbor, [MASK] a good friend.",was
3819,"Hey, that[MASK] my cow.",’s
3820,"No, that[MASK] my cow.",’s
3821,It[MASK] mine.,’s
3822,What [MASK] you saying?,are
3823,It[MASK] my cow!,’s
3824,Who [MASK] you?,are
3825,I[MASK] a traveling carpenter.,’m
3826,I[MASK] looking for work.,’m
3827,She [MASK] very surprised.,was
3828,What[MASK] this?,’s
3829,"I[MASK] sorry about the cow, Mary.",’m
3830,"Please take it back, and [MASK] my friend again.",be
3831,You[MASK] a member of the family. ,’re
3832,Communication [MASK] important.,is
3833,Everyone in my host family [MASK] kind to me.,is
3834,"Say, I[MASK] sorry.",’m
3835,I[MASK] sad.  ,’m
3836,My host family [MASK] very busy.,is
3837,They[MASK] kind and interesting.,’re
3838,You[MASK] right.  ,’re
3839,"Actually, they[MASK] very friendly.",’re
3840,Th[MASK] [MASK] Meg.,is
3841,What[MASK] up?,’s
3842,"It[MASK] warm and sunny today, so I’m going to ride my bike to the park.",’s
3843,"I[MASK] sorry, but I can’t.",’m
3844,These [MASK] universal design products.,are
3845,"If you [MASK] interested, we will send you a catalog.",are
3846,Our phone number [MASK] 5390-7416.,is
3847,It[MASK] a universal design.,’s
3848,What[MASK] a universal design?,’s
3849,It[MASK] a design for everyone.,’s
3850,I think universal designs [MASK] great.,are
3851,"I tried to get on a bus, but it [MASK] difficult.",was
3852,The bus door [MASK] wide.,was
3853,"Even so, it [MASK] very hard.",was
3854,Universal design products [MASK] all around us.,are
3855,"If you[MASK] in a wheelchair, or pushing a stroller, you can use the ramp.",’re
3856,I think it[MASK] great because the products are useful for everyone.,’s
3857,You[MASK] welcome.,’re
3858,There [MASK] a single cushion on the stage.,is
3859,There [MASK] many seats for the audience.,are
3860,What [MASK] rakugo like?,is
3861,[MASK] there a special stage set?,Is
3862,"Yes, there [MASK].",is
3863,But it[MASK] simple.,’s
3864,There[MASK] only a cushion.,’s
3865,[MASK] there any props?,Are
3866,"Yes, there [MASK].",are
3867,"These days, rakugo [MASK] spreading to other countries.",is
3868,"Their cultures [MASK] different, so rakugo performers change parts of the stories.",are
3869,Laughter [MASK] a strong bridge.,is
3870,Some doctors think that laughter [MASK] also good for our health.,is
3871,"In a cafeteria, three classmates [MASK] talking about scary things.",are
3872,I[MASK] scared of snakes.,’m
3873,"Well, I[MASK] scared of tests.",’m
3874,I[MASK] scared of… donuts.,’m
3875,That[MASK] interesting.,’s
3876,"Here [MASK] your donuts, Mark!",are
3877,"Hey, you said you[MASK] scared of donuts!",’re
3878,Seeing donuts [MASK] really scary.,is
3879,So I[MASK] eating them.,’m
3880,"I[MASK] scared of milk, too.",’m
3881,Birds [MASK] singing,are
3882,Kyushu [MASK] in the southwest of Japan.  ,is
3883,My city [MASK] famous for Kumamoto Castle.  ,is
3884,Its main palace [MASK] popular.  ,is
3885,"There [MASK] beautiful rooms, a great kitchen, a simple tea room, and so on.  ",are
3886,I[MASK] Wang Meiling.,’m
3887,"Th[MASK] [MASK] my town in Fujian, China.",is
3888,It[MASK] huge.,’s
3889,There [MASK] about 350 rooms.,are
3890,"There [MASK] kitchens on the first floor, and food storage rooms on the second floor.",are
3891,There [MASK] living rooms and bedrooms on the third and fourth floors.,are
3892,"If we [MASK] hungry, we have to go downstairs.",are
3893,I like my house and town because living together with a big family [MASK] fun.,is
3894,The sun [MASK] bright in the blue sky above him.,was
3895,But the boy could not see it because he [MASK] blind.,was
3896,The boy [MASK] born in 1952 in Okinawa.,was
3897,His father [MASK] Mexican-American and his mother [MASK] Japanese.,was
3898,Both of them left home when he [MASK] a baby.,was
3899,The boy’s name [MASK] Aragaki Tsutomu.,was
3900,He [MASK] interested in them.,was
3901,"When Tsutomu stopped talking, he found that the minister [MASK] crying.",was
3902,"Tsutomu’s Italian voice trainer once said to him, Your voice [MASK] a gift from God, and also from your father.",is
3903,You[MASK] the only one in the world with a voice like that.,’re
3904,Tsutomu [MASK] now proud of h[MASK] singing.,is
3905,"H[MASK] motto [MASK] Try to be the only one, not just number one.",is
3906,The dolphin [MASK] larger than the tuna.,is
3907,The blue whale [MASK] the largest of all animals.,is
3908,It [MASK] longer than a 25-meter swimming pool!,is
3909,It[MASK] more interesting than this book.,’s
3910,That scene [MASK] the most impressive in the movie.,is
3911,Sawyer [MASK] a shy 11-year-old boy.,is
3912,Winter’s injury [MASK] very bad.,is
3913,But making an artificial one [MASK] very expensive.,is
3914,"People at the aquarium [MASK] sad, but they can’t do anything.",are
3915,Sawyer [MASK] no longer shy.,is
3916,It[MASK] the best thing for her.,’s
3917,Th[MASK] movie [MASK] a true story of the bond between people and animals.,is
3918,What color [MASK] you looking for?,are
3919,"Oh, that[MASK] cool.",’s
3920,But it[MASK] too big for me.,’s
3921,"Oh, th[MASK] [MASK] nice.",is
3922,How much [MASK] it?,is
3923,It[MASK] sixty dollars.,’s
3924,My favorite comic [MASK] Star Trip.,is
3925,It[MASK] a science fiction story.,’s
3926,It[MASK] the most popular comic this year.,’s
3927,I like it because there [MASK] many cool characters in it.,are
3928,"If you[MASK] interested, I can tell you more about it.",’re
3929,I[MASK] Anita Lopez from Venezuela.,’m
3930,I like it because it[MASK] very emotional.,’s
3931,"My family [MASK] poor, but I learn music thanks to a special program.",is
3932,The program [MASK] El S[MASK]tema.,is
3933,The program [MASK] free.,is
3934,Now El S[MASK]tema [MASK] one of the most famous educational programs in the world.,is
3935,"More than 350,000 children [MASK] members.",are
3936,My life [MASK] happier than before.,is
3937,I think the power of music [MASK] great.,is
3938,There [MASK] no electricity or gas.  ,is
3939,"When you [MASK] in a place like this, you can use a solar cooker.  ",are
3940,A solar cooker [MASK] a tool to heat food in a pot.,is
3941,A solar cooker [MASK] helpful to people in developing countries.  ,is
3942,Drinking water from rivers and lakes [MASK] one of the biggest causes of d[MASK]ease.,is
3943,"Third, a solar cooker [MASK] safe because it does not make smoke.  ",is
3944,"Collecting wood [MASK] hard work, especially for women and children.  ",is
3945,"We get most of this energy from gas and oil, but they [MASK] limited.",are
3946,It [MASK] an example of renewable energy. ,is
3947,"There [MASK] other examples of this energy, such as water, wind, and natural heat in the ground.",are
3948,I[MASK] Ito Kota.,'m
3949,I[MASK] going to talk about Canada.,'m
3950,Canada [MASK] north of the United States.,is
3951,"It[MASK] the world[MASK] second largest country, but its population is only thirty-three million.",'s
3952,"There [MASK] many places to see in Canada, like Niagara Falls and Canadian Rockies.",are
3953,Th[MASK] [MASK] a famous painting by Vincent van Gogh.,is
3954,It [MASK] loved by many people.,is
3955,Van Gogh [MASK] influenced by ukiyo-e.,was
3956,Some ukiyo-e prints [MASK] shown in this painting.,are
3957,They [MASK] brought from Japan to Europe.,were
3958,[MASK] this picture also painted by the same person?,Was
3959,"Yes, it [MASK].",was
3960,When [MASK] it painted?,was
3961,[MASK] the year written in the book?,Is
3962,It [MASK] painted in 1887.,was
3963,"At that time, Japanese culture [MASK] popular in Europe.",was
3964,Japanese manga and anime characters [MASK] loved in many countries.,are
3965,Doraemon [MASK] one good example.,is
3966,"In 2012, he [MASK] given special birthday parties in Hong Kong and Taiwan.",was
3967,Another popular example of Japanese pop culture [MASK] the word kawaii.,is
3968,Kawaii  [MASK] also used outside Japan now.,is
3969,A lot of people [MASK] attracted by kawaii culture such as Hello Kitty goods and other unique designs.,are
3970,"I knew little about them before, but I learned that both [MASK] much loved in foreign countries.",are
3971,I also learned that ukiyo-e [MASK] pop culture in Japan during the Edo period.,was
3972,"In fact, ukiyo-e prints [MASK] sold like posters.",were
3973,I think manga and anime will [MASK] traditional Japanese arts like ukiyo-e someday.,be
3974,It[MASK] very good.,'s
3975,I[MASK] glad you like it.,'m
3976,Here you [MASK].,are
3977,Th[MASK] d[MASK]h [MASK] delicious. ,is
3978,What [MASK] it called?,is
3979,It[MASK] called meat loaf.,'s
3980,It[MASK] made from beef.,'s
3981,I[MASK] full.,'m
3982,Th[MASK] [MASK] called a yunomi.,is
3983,It[MASK] used when you drink tea.,'s
3984,Th[MASK] yunomi [MASK] Arita ware from Saga Prefecture.,is
3985,There [MASK] many kinds of yunomi in Japan.,are
3986,Some of them [MASK] really beautiful.,are
3987,My name [MASK] Maile Johnson.,is
3988,I[MASK] a high school student in Hawaii.,'m
3989,They[MASK] very Hawaiian.,'re
3990,"I[MASK] interested in Japanese kimonos, ",'m
3991,"Actually, the first aloha shirts in Hawaii [MASK] made by people from Asia.",were
3992,They [MASK] made from Japanese kimonos.,were
3993,How [MASK] the kimonos brought from Japan to Hawaii? ,were
3994,Today aloha shirts [MASK] known around the world as example of Hawaiian culture.,are
3995,Cultures [MASK] mixing and the world is becoming smaller.,are
3996,[MASK]n't that great?,Is
3997,I[MASK] Ricardo Takahashi from Rio de Janeiro.,'m
3998,My grandfather [MASK] Japanese.,is
3999,I've loved Japanese anime since I [MASK] a little child.,was
4000,I[MASK] glad I could finally come to Japan.,'m
4001,"You[MASK] on the soccer team, aren't you?",'re
4002,He taught me soccer when he [MASK] in Brazil.,was
4003,It[MASK] a small world!,'s
4004,"Actually, it[MASK] a river, the Amazon.",'s
4005,It[MASK] the largest river in the world.,'s
4006,The Amazon has [MASK] important to Brazil for many years.,been
4007,"The Amazon has [MASK] helpful to everyone here, too.",been
4008,"These animals have [MASK] there for a long time, but they're losing their home now.",been
4009,People [MASK] destroying the rain forest.,are
4010,That[MASK] almost twice the size of Japan.,'s
4011,I've [MASK] worried about this problem since I was in elementary school.,been
4012,The Amazon [MASK] treasure of the world.,is
4013,My name [MASK] Erika.,is
4014,I [MASK] a junior high school student in New York.,am
4015,"I lived in Japan before, and I have [MASK] a big fan of yours since then.",been
4016,I [MASK] really impressed when you hit a home run.,was
4017,You have [MASK] successful in the United States.,been
4018,What [MASK] your next goal?,is
4019,[MASK] these all fair trade products?,Are
4020,It says more than fifty products [MASK] sold here.,are
4021,"Well, maybe the prices [MASK] fair.",are
4022,It[MASK] made into chocolate.,’s
4023,Many cacao farm workers [MASK] very poor because cacao is sold at a low price.,are
4024,Some of them have never [MASK] to school.,been
4025,It [MASK] great.,was
4026,The children in today’s video don’t know that cacao [MASK] made into chocolate.,is
4027,I [MASK] surprised to hear that.,was
4028,I think choosing fair trade products [MASK] one way to support them.,is
4029,Learning about the people behind the products [MASK] another.,is
4030,I [MASK] glad to learn about fair trade today.,was
4031,Have you ever [MASK] to the Statue of Liberty?,been
4032,I[MASK] going tomorrow.,’m
4033,[MASK] that OK?,Is
4034,That[MASK] perfect.,’s
4035,I[MASK] looking forward to it.,’m
4036,Kyoto [MASK] an old city with many traditional buildings.,is
4037,My favorite [MASK] Kinkaku-ji.,was
4038,"I thought it [MASK] beautiful, too.",was
4039,My name [MASK] Paavo Laitinen.,is
4040,I[MASK] a junior high school student in Finland.,’m
4041,Lapland [MASK] a region in northern Finland.,is
4042,It has [MASK] popular among tourists for a long time because the nature there is really beautiful.,been
4043,My favorite activity [MASK] a husky tour.,was
4044,It [MASK] very exciting.,was
4045,Seeing an aurora [MASK] also one of the purposes of this trip.,was
4046,"Fortunately, the weather [MASK] perfect.",was
4047,I [MASK] very happy to see it.,was
4048,A mother [MASK] singing to her little girl under the tree.,was
4049,It [MASK] some seventy years ago.,was
4050,"Many people lost their lives, and many others [MASK] injured.",were
4051,I [MASK] very sad when I saw those people.,was
4052,It [MASK] a very hot day.,was
4053,You’ll [MASK] all right soon.,be
4054,Some people [MASK] already dead.,were
4055,It [MASK] a lullaby.,was
4056,A young girl [MASK] singing to a little boy.,was
4057,Mommy [MASK] here.,is
4058,"She [MASK] very weak, but she tried to be a mother to the poor little boy.",was
4059,"Mommy, the boy [MASK] still crying.",was
4060,"[MASK] a good boy, said the girl.",Be
4061,You’ll [MASK] all right.,be
4062,It [MASK] a sad lullaby.,was
4063,It[MASK] difficult for me to imagine a big earthquake.,’s
4064,That[MASK] true.,’s
4065,"So it[MASK] necessary for us to prepare for disasters, right?",’s
4066,And I think it[MASK] important to keep the past in mind.,’s
4067,"On March 11, 2012, there [MASK] a special violin performance in the city of Rikuzentakata.",was
4068,Some of the people [MASK] in tears.,were
4069,That violin [MASK] very special to everyone there.,was
4070,"The violin [MASK] made by Nakazawa Muneyuki, a famous violin maker.",was
4071,It [MASK] to make violins from driftwood from the disaster.,was
4072,"Though it [MASK] not easy to make a violin from the driftwood, Mr. Nakazawa created some beautiful violins.",was
4073,They have [MASK] passed around to many musicians.,been
4074,How many stops [MASK] Aoyama-itchome from here?,is
4075,It[MASK] the train on Track 2.,’s
4076,They [MASK] originally made as industrial robots.,were
4077,Now they [MASK] great musicians.,are
4078,[MASK] you interested in robots?,Are
4079,That[MASK] right.,’s
4080,"Not long ago, robots like those [MASK] just a dream.",were
4081,Our dreams [MASK] becoming reality.,are
4082,The robots working for us [MASK] amazing.,are
4083,But there[MASK] also a big problem.,’s
4084,Robots [MASK] so efficient that they’re taking people’s jobs away.,are
4085,I[MASK] worried about losing our future jobs.,’m
4086,I think they[MASK] necessary for our future.,’re
4087,The number of elderly people [MASK] increasing.,is
4088,"Future robots may [MASK] able to help them when they take a bath, or go shopping.",be
4089,"That[MASK] true, but I’m a little afraid of living with robots.",’s
4090,Robots [MASK] machines.,are
4091,They[MASK] too dangerous to be our partners.,’re
4092,It[MASK] our future.,’s
4093,Th[MASK] [MASK] Erika.,is
4094,"I[MASK] sorry, she’s out.",’m
4095,"No, it[MASK] OK.",’s
4096,We[MASK] going to do our papers together.,’re
4097,You[MASK] welcome.,’re
4098,Th[MASK] [MASK] a book I brought from the United States.,is
4099,These [MASK] some of the people I found in it.,are
4100,They[MASK] all winners of the Nobel Peace Prize.,’re
4101,[MASK] there anyone you’ve seen before?,Is
4102,What [MASK] it about?,was
4103,It [MASK] about the life of Aung San Suu Kyi.,was
4104,[MASK] she the woman Ms. Baker talked about?,Is
4105,She[MASK] a political leader who fights for democracy and human rights in Myanmar.,’s
4106,"In 1988, there [MASK] a movement for democracy in Myanmar.",was
4107,A great number of people who joined it [MASK] killed.,were
4108,"She [MASK] locked up for 15 years in total, but she never gave up.",was
4109,It [MASK] a prize that attracted people’s attention.,was
4110,"In 1999, Aung San Suu Kyi’s husband [MASK] dying of cancer.",was
4111,It [MASK] a sad decision that they made together.,was
4112,"In 2010, she [MASK] finally set free.",was
4113,"She [MASK] still fighting for a world that [MASK] free from the d[MASK]placed, the homeless, and the hopeless.",is
4114,These [MASK] my reasons.,are
4115,School uniforms [MASK] good for students in many ways.,are
4116,I’ve [MASK] a member of the volleyball team for three years.  ,been
4117,"At first, it [MASK] difficult for us to win a game, but we’ve improved a lot.  ",was
4118,I[MASK] going to keep playing volleyball.  ,’m
4119,I want to [MASK] a player who can lead a team to the national tournament.,be
4120,"I[MASK] Takigawa Erika, a 15-year-old girl living in New York.  ",’m
4121,"There [MASK] students of various cultures in my school, too.  ",are
4122,It [MASK]n’t easy for me to get along with them.  ,was
4123,Filmmaking [MASK] an elective class that [MASK] very popular in my school.  ,is
4124,"But as we [MASK] all working hard for the same goal, we came to accept one another.  ",were
4125,Th[MASK] [MASK] the greatest experience that I’ve had in my school life.  ,is
4126,"I want everyone to learn the importance of respecting differences, and I [MASK]lieve there will [MASK] something I can do to help.  ",be
4127,"I[MASK] still not sure what I can do, but I hope my experiences will help me to find a way.",’m
4128,Only three words [MASK] written on it The Green Door.  ,were
4129,It [MASK] just an advertisement for a dentist’s office.,was
4130,"Many cards [MASK] thrown away on the street, but they [MASK] all for the dentist.",were
4131,Rudolf [MASK] sure that an adventure [MASK] waiting for him.,was
4132,There [MASK] a dark hallway.  ,was
4133,She [MASK] pale and weak.  ,was
4134,"She [MASK] very beautiful, but also very thin.",was
4135,I’ll [MASK] right back.,be
4136,"It[MASK] ridiculous to go without eating, said Rudolf.",’s
4137,Her story [MASK] nothing new.  ,was
4138,"Oh, now I[MASK] sleepy, but I feel much better.",’m
4139,I’ll come back tomorrow to see how you [MASK].,are
4140,He realized that every door on that floor [MASK] green.,was
4141,"The man pointed at a theater down the street and said, They[MASK] for a new show.",’re
4142,I [MASK] handing them out with the dentist’s cards.,was
4143,"Above the theater entrance, there [MASK] a big sign saying The Green Door.  ",was
4144,It [MASK] the title of a play.,was
4145,There [MASK] always an adventure just around the corner . . .,is
4146,"He [MASK] a university student, and one day he [MASK] looking at a book about Alaska.  ",was
4147,It [MASK] a photograph of a small village surrounded by wilderness.  ,was
4148,"In 1996, he [MASK] killed by a bear as he camped alone in Kamchatka.  ",was
4149,"Though his life [MASK] cut short, Michio seemed truly happy as a photographer.  ",was
4150,That [MASK] the magic of photographs.  ,is
4151,"However, the Alaskan wilderness [MASK] changing because of global warming.  ",is
4152,The Arctic glaciers [MASK] melting.  ,are
4153,The habitat of the caribou [MASK] growing smaller.  ,is
4154,Even the Inuit [MASK] losing their traditional way of life.,are
4155,The Alaskan wilderness [MASK] special to Michio.  ,was
4156,Michio’s own life [MASK] changed because of one photograph.  ,was
4157,[MASK]'s noto in English?,What
4158,"Kota, [MASK]’s this?",what
4159,[MASK]’s this?,What
4160,[MASK] do you have for breakfast?,What
4161,[MASK]'s wrong?,What
4162,[MASK] does he do there?,What
4163,[MASK] time is it there now?,What
4164,[MASK] season is it?,What
4165,[MASK] language do people in Brazil speak?,What
4166,[MASK] are the people watching?,What
4167,"Kota, [MASK] do these Chinese words mean?",what
4168,[MASK] a surprise!,What
4169,[MASK] were you doing?,What
4170,[MASK] events do you have at your school?,What
4171,[MASK] are your plans for the holidays?,What
4172,[MASK]'s the purpose of your visit?,What
4173,Guess [MASK]!,what
4174,[MASK]?,What
4175,[MASK] are you saying?,What
4176,[MASK]’s this?,What
4177,[MASK]’s up?,What
4178,[MASK]’s a universal design?,What
4179,[MASK] will happen here?,What
4180,[MASK] is rakugo like?,What
4181,[MASK] color are you looking for?,What
4182,[MASK] is it called?,What
4183,[MASK] is your next goal?,What
4184,[MASK] can we do for those children?,What
4185,Do you know [MASK] to do in an emergency?,what
4186,[MASK] do you mean?,What
4187,Do you know [MASK] they can do?,what
4188,I know [MASK] you mean. ,what
4189,"Deepa, [MASK] do you think?",what
4190,"If they get out of control, we don’t know [MASK] they’ll do.",what
4191,[MASK] was it about?,What
4192,"First, if we have school uniforms, we do not have to worry about [MASK] to wear every day.",what
4193,"I’m still not sure [MASK] I can do, but I hope my experiences will help me to find a way.",what
4194,[MASK] is your birthday?,When
4195,[MASK] can you climb it?,When
4196,"[MASK] I sat in it, I couldn’t use it easily.",When
4197,"From now on, [MASK] I see someone in need, I’ll give them a hand.",when
4198,Both of them left home [MASK] he was a baby.,when
4199,"[MASK] Tsutomu stopped talking, he found that the minister was crying.",When
4200,So she looks happy [MASK] she sees Sawyer.,when
4201,"[MASK] you are in a place like this, you can use a solar cooker.  ",When
4202,[MASK] was it painted?,When
4203,It's used [MASK] you drink tea.,when
4204,He taught me soccer [MASK] he was in Brazil.,when
4205,I was really impressed [MASK] you hit a home run.,when
4206,[MASK] and where shall we meet?,When
4207,I was very sad [MASK] I saw those people.,when
4208,"Future robots may be able to help them [MASK] they take a bath, or go shopping.",when
4209,"Third, [MASK] we wear school uniforms, we can feel that we belong to our school.",when
4210,I[MASK] show you.,’ll
4211,She[MASK] understand.,’ll
4212,"If you are interested, we [MASK] send you a catalog.",will
4213,"From now on, when I see someone in need, I[MASK] give them a hand.",’ll
4214,What [MASK] happen here?,will
4215,My wife and children [MASK] welcome you.,will
4216,I[MASK] check it out.,’ll
4217,"Without a tail, she[MASK] die.",’ll
4218,I[MASK] take it.,’ll
4219,I think manga and anime [MASK] be traditional Japanese arts like ukiyo-e someday.,will
4220,I[MASK] never forget this trip.,’ll
4221,You[MASK] be all right soon.,’ll
4222,You[MASK] be all right.,’ll
4223,"Well, I[MASK] tell you a story.",’ll
4224,"If they get out of control, we don’t know what they[MASK] do.",’ll
4225,I[MASK] never forget winning the city championship.,’ll
4226,"I want everyone to learn the importance of respecting differences, and I believe there [MASK] be something I can do to help.  ",will
4227,"I’m still not sure what I can do, but I hope my experiences [MASK] help me to find a way.",will
4228,I[MASK] be right back.,’ll
4229,I[MASK] come back tomorrow to see how you are.,’ll
4230,"In Michio’s photographs, the beauty of Alaska [MASK] stay with us forever.  ",will
4231,Perhaps his photographs [MASK] also change someone’s life.  ,will
4232,Maybe Michio’s Alaskan photographs [MASK] encourage us to think about the beautiful Earth we share.,will
4233,I [MASK] you the best of luck.,wish
4234,We usually eat it [MASK] our fingers.,with
4235,"He runs, swims, and surfs [MASK] his friends.",with
4236,I am in a hotel in Boston [MASK] my family.,with
4237,I have an English book about Boston [MASK] me.,with
4238,I can read it [MASK] a dictionary.,with
4239,Can you help me [MASK] my homework?,with
4240,We went to the hospital and talked [MASK] him.  ,with
4241,But I enjoy my life in Japan [MASK] you all.,with
4242,I enjoyed breakfast [MASK] my family.  ,with
4243,The Restaurant [MASK] Many Orders,with
4244,I went to Fukui [MASK] my familiy two weeks ago.,with
4245,I went fishing at the Midori River [MASK] my friends.,With
4246,Greet customers [MASK] a smile to welcome them.,with
4247,You need to get along [MASK] your teammates.,with
4248,He left [MASK] a smile.,with
4249,They try hard to talk [MASK] me.,with
4250,"I live there [MASK] my parents, grandparents, two uncles, three aunts, and three cousins.",with
4251,I like my house and town because living together [MASK] a big family is fun.,with
4252,"The minister said, Tsutomu, do you want to come and stay [MASK] us?",with
4253,You’re the only one in the world [MASK] a voice like that.,with
4254,He plans a charity event [MASK] volunteers.,with
4255,I really enjoy playing music [MASK] my friends in the orchestra.,with
4256,You can make one [MASK] only cardboard and aluminum foil.,with
4257,"Second, people in developing countries can get cleaner water by boiling it [MASK] a solar cooker.",with
4258,"[MASK] a solar cooker, they do not have to collect wood anymore.",With
4259,I’ve just tried some fair trade chocolate [MASK] my family.,with
4260,Would you like to come [MASK] me?,with
4261,Kyoto is an old city [MASK] many traditional buildings.,with
4262,I also enjoyed talking [MASK] my friends at night.,with
4263,Then he came up [MASK] an idea.,with
4264,The violins have a tender sound [MASK] the power to heal people.,with
4265,"Today, let’s talk about living [MASK] robots.",with
4266,I agree [MASK] her in part.,with
4267,"That’s true, but I’m a little afraid of living [MASK] robots.",with
4268,"In my opinion, you should keep thinking about the best way to live [MASK] robots.",with
4269,It wasn’t easy for me to get along [MASK] them.  ,with
4270,He got another card [MASK] the words The Green Door.  ,with
4271,He ran out of the room and came back [MASK] a lot of food.,with
4272,I was handing them out [MASK] the dentist’s cards.,with
4273,"In Michio’s photographs, the beauty of Alaska will stay [MASK] us forever.  ",with
4274,"He used his photographs to share it [MASK] us, ",with
4275,"Kota, what do these Chinese [MASK] mean?",words
4276,Another popular example of Japanese pop culture is the [MASK] kawaii.,word
4277,Only three [MASK] were written on it The Green Door.  ,words
4278,He got another card with the [MASK] The Green Door.  ,words
4279,"Mike, my brother, [MASK] in this Chinese restaurant.",works
4280,"Well, this museum has many [MASK] of Japanese art.",works
4281,Rangers [MASK] for the park to protect its environment.,work
4282,My cousin [MASK] as a ranger in Yosemite.,works
4283,I’m looking for [MASK].,work
4284,Do you have any [MASK] for me?,work
4285,Pat [MASK] hard and fast.,worked
4286,"At sunset, he finished his [MASK].",work
4287,"Well, the bridge [MASK]!",worked
4288,We have a lot of [MASK] for you.,work
4289,It [MASK]!,worked
4290,"Collecting wood is hard [MASK], especially for women and children.  ",work
4291,Your father often wears aloha shirts to [MASK].,work
4292,"They [MASK] hard, but they can’t make enough money to live.",work
4293,They [MASK] under unfair conditions.,work
4294,Many children in Ghana have to [MASK] on farms to help their families.,work
4295,Other robots can [MASK] in dangerous places instead of people.,work
4296,The robots [MASK] for us are amazing.,working
4297,Some robots [MASK] in hospitals and homes.,work
4298,"She accepted, and decided to [MASK] for her country.",work
4299,"In the class, students [MASK] in groups and learn how to make their own movies.  ",work
4300,"But as we were all [MASK] hard for the same goal, we came to accept one another.  ",working
4301,He loved his [MASK] and he loved Alaska.,work
4302,She’s twenty-seven [MASK] old now.,years
4303,It’s 50 [MASK] old.,years
4304,We enjoy it every [MASK].,year
4305,Have a nice winter vacation and a happy new [MASK]!,year
4306,We prayed for a good [MASK].,year
4307,"In Japan, the school [MASK] starts in April.",year
4308,It's about 150 [MASK] old.,years
4309,It's about 20 [MASK] old.,years
4310,Sawyer is a shy 11-[MASK]-old boy.,year
4311,It’s the most popular comic this [MASK].,year
4312,I joined the program five [MASK] ago.,years
4313,"If you use one solar cooker, you can save about 550 kilograms of wood every [MASK].",year
4314,Is the [MASK] written in the book?,year
4315,Many Doraemon fans celebrated his 100-[MASK] before birthday.,year
4316,"Last summer, I met Sayuri, a 17-[MASK]-old Japanese student.",year
4317,For about eight [MASK].,years
4318,The Amazon has been important to Brazil for many [MASK].,years
4319,It has continued for [MASK].,years
4320,I’ve lived in Helsinki for more than ten [MASK].,years
4321,"Through the [MASK] , it has seen many things.",years
4322,It was some seventy [MASK] ago.,years
4323,"She was locked up for 15 [MASK] in total, but she never gave up.",years
4324,I’ve been a member of the volleyball team for three [MASK].  ,years
4325,"I lived in Japan before, and moved here last [MASK].",year
4326,"For 19 [MASK], he traveled around Alaska as a photographer.  ",years
4327,How are [MASK]?,you
4328,"I'm fine, thank [MASK].",you
4329,And [MASK]?,you
4330,Raise [MASK] hand.,your
4331,Open [MASK] book to page four.,your
4332,Close [MASK] book.,your
4333,When is [MASK] birthday?,your
4334,Do [MASK] like spaghetti?,you
4335,Can [MASK] play soccer?,you
4336,Are [MASK] Ando Saki?,you
4337,"Are [MASK] in the judo club, Saki?",you
4338,Are [MASK] from America?,you
4339,Are [MASK] from New York?,you
4340,So are [MASK] a Boston Red Sox fan?,you
4341,"Ms. Baker, this is [MASK] pen.",your
4342,Here [MASK] are.,you
4343,Thank [MASK].,you
4344,[MASK]'re welcome.,You
4345,Nice to meet [MASK].,you
4346,"Nice to meet [MASK], too.",you
4347,Thank [MASK].,you
4348,Do [MASK] practice the guitar every day?,you
4349,"Do [MASK] play the piano, too?",you
4350,Do [MASK] write original music?,you
4351,Do [MASK] like baseball?,you
4352,Do [MASK] know about judo?,you
4353,Here [MASK] are.,you
4354,Thank [MASK] very much.,you
4355,Here’s [MASK] change.,your
4356,Do [MASK] have any pets now?,you
4357,Do [MASK] have a picture?,you
4358,[MASK]’re a great cook.,You
4359,Thank [MASK].,you
4360,What do [MASK] have for breakfast?,you
4361,How about [MASK]?,you
4362,"Oh, [MASK] eat a lot!",you
4363,"Erika, how are [MASK] today?",you
4364,"Thank [MASK], Dad.",you
4365,Do [MASK] know the animals of Australia?,you
